course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,language,rating,year_published
53211,Matemática Financeira de um jeito fácil,Pago,95,401,67,20,All Levels,1.5,2013-07-23,Business Finance,Portuguese,4.4,2013
212952,ビットコイン生態系｜既存通貨が主役をやめる日,Pago,20,701,55,16,Beginner Level,1.5,2014-06-23,Business Finance,Japanese,3.7,2014
1151398,Trading Forex - Trader avec les figures harmoniques,Pago,90,57,11,23,Beginner Level,2.0,2017-03-31,Business Finance,French,4.4,2017
1016420,Введение в Финансовую Инженерию,Pago,50,205,20,20,Beginner Level,5.0,2016-11-20,Business Finance,Russian,3.8,2016
1178820,Aprenda a Investir no Tesouro Direto Passo a Passo,Pago,35,62,10,19,All Levels,1.0,2017-04-25,Business Finance,Portuguese,4.7,2017
881778,資産運用の基礎を学ぶファイナンス入門,Pago,20,114,13,52,Beginner Level,4.0,2016-07-07,Business Finance,Japanese,4.5,2016
173462,Aprende a invertir y deja que tu dinero trabaje para ti,Pago,145,789,68,95,All Levels,14.0,2014-03-03,Business Finance,Spanish,4.2,2014
648174,Buchführung lernen leicht gemacht,Pago,40,446,39,70,Beginner Level,5.0,2016-06-13,Business Finance,German,4.8,2016
517466,Day Trading: High ROI Day Trading ,Pago,150,17,2,51,Intermediate Level,6.5,2015-07-29,Business Finance,Tagalog,4.23,2015
304422,Flow Management and Forecasting,Pago,20,16,2,10,All Levels,1.0,2014-09-22,Business Finance,English,4.23,2014
177214,An Introduction to Management of Portfolios (MoP),Pago,20,117,15,6,Beginner Level,1.5,2014-03-06,Business Finance,English,4.7,2014
73898,CFA Level I Workshop 1: Ethics and Quantitative Methods,Pago,20,147,4,5,All Levels,1.0,2013-08-12,Business Finance,English,4.23,2013
671548,Accounting Basics 101 for Understanding Business,Pago,20,7,2,18,All Levels,1.0,2016-01-07,Business Finance,English,4.23,2016
504620,Mortgage Acceleration,Pago,20,247,2,17,All Levels,1.5,2015-08-21,Business Finance,English,4.23,2015
98706,Stock Market for Beginners. Learn to trade,Pago,35,143,15,42,All Levels,3.5,2013-10-03,Business Finance,English,2.4,2013
364428,CFA Corporate Finance Level 1 (Part 1),Pago,180,621,1,107,All Levels,14.5,2014-12-06,Business Finance,English,3.9,2014
560472,Trading Tips from Hedge Fund Manager,Pago,50,6,2,32,All Levels,1.0,2015-07-22,Business Finance,English,4.23,2015
682986,Effective Debt Collection Strategies,Pago,40,5,2,16,Intermediate Level,1.5,2015-11-30,Business Finance,English,4.2,2015
270844,IAS 1-Presentation of Financial Statements ,Gratis,0,2674,81,8,All Levels,1.0,2014-10-03,Business Finance,English,4.23,2014
507600,Stock Trading Strategies Using a D.A.R.T.,Pago,20,227,3,5,All Levels,1.0,2015-05-26,Business Finance,English,4.23,2015
363078,Capital Structuring Techiques for CA / CFA / CPA Exams,Pago,125,4480,12,50,Intermediate Level,7.0,2014-12-05,Business Finance,English,4.23,2014
933394,The Complete Guide to Forex Trading,Pago,20,1329,12,33,All Levels,5.0,2017-02-05,Business Finance,English,4.2,2017
1090408,Learn How to Trade Binary Options Professionally,Gratis,0,5144,169,7,All Levels,1.0,2017-02-03,Business Finance,English,4.23,2017
707688,Learn How to Start Small and Make It Big In Small-Cap Stocks,Pago,50,2635,13,29,Beginner Level,2.0,2016-02-08,Business Finance,English,4.23,2016
544176,Trading strategies with common sense technical analysis,Pago,75,1750,71,29,All Levels,3.0,2015-07-19,Business Finance,English,4.23,2015
392478,Startup Business: How To Raise Seed Capital,Pago,95,3360,12,34,All Levels,3.0,2015-03-15,Business Finance,English,3.9,2015
613422,Business Economics - Basics (College Level),Pago,50,3425,10,50,All Levels,4.0,2015-09-16,Business Finance,English,4.23,2015
316750,Technical Analysis 101: Master the Basics of Trading,Pago,95,2688,61,50,All Levels,2.0,2015-05-13,Business Finance,English,4.5,2015
884658,Investing in Stocks? Master The Art of Covered Calls Selling,Pago,80,1095,17,35,All Levels,3.0,2016-07-28,Business Finance,English,3.6,2016
735550,How to Trade Binary Options Effectively – All Levels,Pago,195,1680,39,17,All Levels,1.0,2016-01-27,Business Finance,English,2.7,2016
770486,Stock Market: The Zero Risk Way of Investing,Pago,25,2046,14,8,Beginner Level,0.63,2016-03-18,Business Finance,English,4.23,2016
543212,Forex Trading using professional indicators by TOP traders,Pago,200,1699,40,28,All Levels,3.5,2015-07-07,Business Finance,English,3.7,2015
804298,Corporate Finance 101: Equity Valuation,Pago,50,1071,14,50,All Levels,6.0,2016-03-29,Business Finance,English,3.7,2016
707054,Trading Strategies: Find The Trading Strategy That Fits You,Pago,20,1037,3,12,All Levels,2.0,2015-12-29,Business Finance,English,4.23,2015
964828,Forex Trading - Learn An Effective Forex Trading Strategy,Pago,95,223,34,16,All Levels,1.5,2016-12-14,Business Finance,English,3.6,2016
298522,Navigate the 10-K and Other Financial Reports,Pago,40,653,55,20,All Levels,2.5,2014-11-08,Business Finance,English,4.8,2014
1196728,From 0 to 1: Investments and Portfolio Theory,Pago,50,230,0,22,Beginner Level,4.5,2017-05-01,Business Finance,English,4.23,2017
255170,Bitcoin - The Complete Guide,Pago,20,2281,12,24,All Levels,5.5,2014-07-04,Business Finance,English,4.0,2014
40670,Professional Trader's Mindset - Complete Forex Course,Pago,50,4702,17,6,All Levels,1.0,2013-06-07,Business Finance,English,4.23,2013
737832,Bitcoin Peer Investing: How To Generate Double Digit Returns,Pago,25,366,45,41,All Levels,2.5,2016-01-24,Business Finance,English,4.23,2016
240256,Forex Breakout Profits: The Definitive Guide,Pago,25,521,60,27,All Levels,2.5,2014-11-30,Business Finance,English,4.4,2014
931626,Learn to Trade With Fibonacci Tools,Pago,30,252,45,30,Intermediate Level,4.0,2016-08-17,Business Finance,English,4.5,2016
663022,"Investing Internationally into Real Estate, Stocks and Bonds",Pago,200,1101,14,37,All Levels,2.0,2016-01-27,Business Finance,English,3.5,2016
1196816,From 0 to 1: Bond Theory and Valuation,Pago,50,223,2,29,Beginner Level,4.0,2017-05-02,Business Finance,English,4.6,2017
202290,Stock Market Mastery,Pago,20,135,2,25,All Levels,7.5,2014-06-08,Business Finance,Swedish,4.23,2014
690546,UK Self Assessment Tax Return Filing Online,Pago,20,23,7,6,All Levels,0.47,2015-12-07,Business Finance,English,3.5,2015
560218,Introduction to Financial Statements,Pago,40,112,1,14,Beginner Level,1.5,2015-08-16,Business Finance,English,3.7,2015
253810,"IAS 8-Accounting Policies ,Changes in Accounting Estimates",Gratis,0,2122,30,15,All Levels,2.5,2014-10-03,Business Finance,English,4.23,2014
420926,CFA® Level 1 2014 – Financial Reporting and Analysis,Pago,50,152,2,102,All Levels,10.0,2015-02-26,Business Finance,English,4.6,2015
382824,Investment Banking Operations : Securities Trade Life Cycle,Pago,30,267,9,10,All Levels,2.0,2015-01-02,Business Finance,English,4.23,2015
73046,CFA Level I Foundation Course: Introduction to Quants,Pago,50,155,4,11,Beginner Level,5.0,2013-08-05,Business Finance,English,4.23,2013
73860,Financial Risk Manager (FRM) Certification: Level I,Pago,50,87,25,113,All Levels,24.0,2013-10-26,Business Finance,English,4.1,2013
191588,IAS 10 - Events After Reporting Date,Gratis,0,2146,35,8,All Levels,1.0,2014-05-07,Business Finance,English,4.23,2014
665866,Investment Portfolio Analysis with Excel,Pago,50,154,7,39,All Levels,9.0,2015-11-12,Business Finance,English,4.23,2015
73068,Introduction to the CFA Program,Gratis,0,4248,66,6,Beginner Level,1.0,2013-08-12,Business Finance,English,4.23,2013
252950,Chartered Financial Analyst (CFA) - Level 1 - FRA,Pago,30,517,5,17,Beginner Level,14.5,2014-06-30,Business Finance,English,4.23,2014
760990,Excel 4 Accounting & Bookkeeping - Master Lookup Functions,Pago,35,2638,140,12,All Levels,1.0,2016-02-13,Business Finance,English,4.6,2016
874312,Cashflow Management for Small Businesses: A How To Guide,Pago,25,2914,11,5,All Levels,0.62,2016-06-13,Business Finance,English,3.7,2016
373716,Forex Basics (Professional Course Level),Pago,20,6050,34,25,All Levels,1.5,2014-12-19,Business Finance,English,4.23,2014
1275790,Advanced Butterfly Spreads for Options Income Strategies,Pago,60,16,1,8,Expert Level,1.0,2017-07-04,Business Finance,English,4.0,2017
836926,The Holy Grail of Auto Trading Forex Futures Stocks Revealed,Pago,50,3917,45,7,All Levels,1.0,2016-05-03,Business Finance,English,4.23,2016
1131122,IPO Fundamentals,Pago,20,1122,13,6,Beginner Level,1.0,2017-03-02,Business Finance,Catalan,4.23,2017
595258,Finance for Non-Finance: Learn Quick and Easy,Pago,20,4158,51,30,Beginner Level,2.5,2016-02-25,Business Finance,English,4.6,2016
1269590,Advanced Options Trading Course,Pago,40,1252,2,6,Intermediate Level,0.53,2017-06-29,Business Finance,English,4.23,2017
611420,Statistics - Measures of Dispersion for CA / CS / CFA exams,Pago,20,5108,9,13,All Levels,1.0,2015-09-14,Business Finance,English,4.23,2015
941990,Work From Home Online (Part/Full) : Trade Forex 4 Beginners,Pago,45,2981,23,17,Beginner Level,1.0,2016-10-09,Business Finance,German,4.23,2016
1119920,Financial Ratios Using Excel,Pago,100,1223,14,29,Beginner Level,1.0,2017-03-07,Business Finance,English,4.5,2017
256200,How To Start Trading Penny Stocks In 10 Easy Steps 2017,Pago,50,7750,58,15,All Levels,1.5,2014-07-17,Business Finance,English,4.23,2014
207166,How to Copy the Best Traders on Etoro,Pago,90,564,9,41,All Levels,3.5,2014-05-01,Business Finance,English,4.23,2014
390472,How To Set Up A Limited Company In The UK,Gratis,0,2075,69,11,Beginner Level,0.73,2015-04-20,Business Finance,English,4.23,2015
575476,Forex trading made simple,Pago,100,45,4,31,All Levels,1.5,2015-09-25,Business Finance,English,4.23,2015
460652,Financial and Business Simulation with Microsoft Excel,Pago,20,44,5,8,Expert Level,0.52,2015-03-29,Business Finance,English,4.23,2015
157336,10.  Bonds and Bond Pricing,Pago,20,308,4,10,All Levels,1.0,2014-02-11,Business Finance,English,4.2,2014
65110,Professional Risk Manager (PRM) Certification: Level 3,Pago,50,55,5,22,All Levels,12.5,2013-07-23,Business Finance,English,4.23,2013
987682,Stocks: Quick Method to get started Investing,Gratis,0,718,13,7,Beginner Level,1.0,2017-05-18,Business Finance,English,3.5,2017
835212,The Fundamentals Of Finance For Non-Finance Professionals,Pago,40,206,3,7,All Levels,1.5,2016-05-18,Business Finance,English,4.0,2016
882276,Forex - Top Equity Management Strategy,Pago,20,18,4,13,All Levels,0.58,2016-06-20,Business Finance,English,4.23,2016
971110,The Truths about (in)secure Retirement,Pago,200,86,6,32,Intermediate Level,4.5,2016-10-03,Business Finance,English,3.8,2016
414744,Learn How to File Taxes for Uber and Lyft Drivers,Pago,40,294,5,25,All Levels,2.0,2015-02-12,Business Finance,English,3.8,2015
537286,Learn the Basics of the Wave Principle:,Pago,30,27,4,10,Beginner Level,1.5,2015-07-02,Business Finance,English,4.5,2015
1123226,MasterClass-Japanese &  Heiken Ashi CandleStick Patterns,Pago,195,375,10,26,All Levels,3.5,2017-03-12,Business Finance,English,4.23,2017
